frustration n.挫折；令人失望
suburban adj.郊外的，郊区的
contentment n.知足，满足
self-reliant adj.依靠自己的，独立的
honey n.蜂蜜
canoe v.划（或乘）独木舟
ski vi.滑雪
low n.（牛）哞哞叫
hawk n.鹰
corn n.玉米田
haul vt.（用卡车、马车等)搬运
firewood n.木柴
sled n.雪橇
strawberry n.草莓
retile vt.重新用瓦盖
long-overdue adj.拖了很久的
overdue adj.早该有的，早该发生的
improvement n.改进，改善
supplement vt.补充，增补
indoor adj.室内的
chick n.小鸡
typewriter n.打字机
freelance n.自由撰稿人（或演员等）
pursue vt.努力去获得（或完成），追求
oversee vt.看管；监督
beehive n.蜂窝，蜂箱
organ n.风琴；器官
overflow vi.溢出，泛滥
swamp vt.淹没；压倒
freezer n.冰柜，冷藏室(冰箱中的)冷冻室
cherry n.樱桃
raspberry n.树莓，覆盆子
asparagus n.芦笋
canned-goods n.罐装品
plum n.李子，梅子
jelly n.果子冻
squash n.南瓜属植物（如南瓜、倭瓜、笋瓜等）
pumpkin n.南瓜
gallon n.加仑
decidedly adv.肯定地，无疑地
employer n.雇佣者；雇主
blessing n.祝福；鼓励
bless vt.为…祝福
den n.兽穴
illustrate n.加插图于；举例说
hitch vt.用挽具套住
dogsled n.狗拉雪橇
monster n.怪物，妖怪
digest n.文摘；摘要
boundary n.边界线；分界线
wilderness n.荒野，荒地
generate vt.形成，产生
dental adj.牙的，和牙有关的
insurance n.保险；保险费
policy n.保险单，保险契约；政策
fee n.费
minor adi.较少的，较小的，较次要的
premium n.保险费；奖金，奖品
appreciably adv.能够感到地；可观地
lower v.降低
patronize vt.光顾，惠顾
opera n.歌剧
ballet n.芭蕾舞（剧）
extravagant adj.奢侈的，浪费的
combine v.（使）结合；（使）联合
suspect v.相信，怀疑
solitude n.孤独，独居
budget n.预算
involve vt.使参加；使陷入；包含，牵涉
requirement n.要求；必备条件
self-sufficiency n.自给自足
scale n.规模
resist vt.抵制
temptation n.诱惑（物）
laborsaving adj.省力的；节省劳动力的
device n.设备，装置
machinery n.（总称），机械
horsepower n.马力
rotary adj.旋转的
cultivator n.耕耘机
profit n.得益；收益，利润
invest v.投资
economic adj.经济学的；经济（方面）的
old-fashioned adj.过时的，老式的；守旧的
